SSC_CODE_2016,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
SSC50001,4,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SSC50002,6,0,3,0,0,0,4,10,0,27,3,3,11,0,4,0,7,0,0,21,10,0,10,0,7,3,0,3,0,35,0,0,5,0,3,0,3,0,0,11,7,0,52,0,10,0,4,6,0,83,0,0,0,0,3,3,0,0,0,6,13,3,3,0,3,39,0,5,0,68,11,0,5,11,7,4,0,11,0,51,4,0,0,0,3,0,8,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,3,3,0,0,0,14,6,7,3,0,4,0,0,3,0,31,7,0,4,3,0,0,0,15,0,27,3,5,3,10,13,0,0,0,0,30,3,28,4,9,3,0,0,0,0,52,7,31,3,27,8,0,0,3,0,73,0,0,0,0,0,0,0,0,0,4,0,3,18,4,0,0,0,0,0,30,0,0,3,0,0,6,0,0,0,13
SSC50003,12,0,0,0,0,0,0,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50004,11,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50005,19,0,0,0,0,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50006,12,3,0,0,0,0,0,3,0,22,0,0,3,0,0,0,0,0,0,3,3,4,0,0,7,0,0,9,0,23,0,0,4,0,0,0,3,0,0,6,3,4,26,0,0,3,4,5,0,40,3,0,0,0,0,8,0,0,0,5,7,3,0,0,9,25,7,12,0,58,26,0,11,18,3,4,0,13,0,83,3,3,0,0,3,0,11,0,0,21,3,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,6,0,3,0,0,5,9,0,0,0,19,3,33,4,0,9,0,0,0,0,47,0,3,3,0,5,0,0,4,0,18,10,13,3,9,6,0,0,7,0,43,11,61,0,7,4,0,0,0,0,83,9,58,3,25,13,0,3,3,0,118,3,8,0,0,3,0,0,0,0,10,5,3,8,0,3,0,0,4,0,22,0,0,3,0,3,3,3,0,7,24
SSC50007,20,0,0,0,0,0,0,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50008,22,3,0,0,0,0,0,20,0,54,7,21,19,3,21,0,28,11,0,108,27,13,100,3,24,20,51,57,5,286,0,4,14,0,10,0,3,0,0,41,27,9,242,0,50,11,30,73,3,442,16,7,12,0,30,22,31,6,0,128,44,11,26,3,29,247,18,44,5,425,25,3,32,46,5,45,3,67,0,230,18,8,11,3,51,13,85,5,0,193,7,9,15,0,3,0,0,0,0,35,8,13,0,0,40,3,0,0,0,61,8,3,3,3,20,19,0,7,0,67,20,76,21,0,43,0,3,0,4,165,14,4,15,11,14,0,14,68,0,138,12,37,17,48,92,0,5,5,3,229,19,134,12,68,27,0,0,17,3,276,13,97,23,174,77,7,4,36,0,435,7,0,6,16,10,3,0,5,0,54,11,10,93,37,23,4,0,34,3,229,15,16,34,4,22,18,29,43,47,226
SSC50009,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50010,5,0,0,0,0,0,0,0,0,9,10,24,13,3,9,0,6,0,0,70,15,9,12,0,9,8,7,3,0,62,4,4,0,0,3,0,0,0,0,16,23,11,45,0,11,3,3,11,0,99,6,6,0,0,6,7,0,0,0,33,12,13,7,3,10,61,0,3,0,101,15,0,9,28,0,6,0,11,0,73,5,4,5,0,10,3,8,7,0,43,3,3,0,0,3,0,0,0,0,10,11,20,0,0,18,5,0,0,0,57,4,6,0,0,4,17,0,0,0,30,27,61,10,0,16,0,0,0,3,114,3,4,3,7,4,3,0,7,0,33,20,31,4,13,17,0,0,3,3,89,9,88,0,15,15,0,0,0,0,137,7,83,3,28,33,0,0,3,3,164,5,3,0,6,0,3,0,0,0,17,0,5,12,10,6,0,0,3,0,41,7,6,3,0,6,0,6,3,9,42
SSC50011,3,0,3,0,0,0,0,7,0,18,11,21,60,9,10,0,68,15,0,191,19,8,49,0,11,7,8,7,0,117,7,7,6,0,4,0,3,6,0,27,25,18,300,0,56,6,18,69,8,495,13,10,14,0,20,10,8,3,0,83,61,13,17,0,21,196,14,35,0,360,35,5,23,53,10,30,3,37,0,199,9,9,10,0,20,5,40,6,0,88,10,4,9,0,3,3,0,0,0,28,10,23,4,0,44,7,0,0,0,95,7,3,3,0,11,14,0,5,0,45,16,68,21,0,33,4,0,4,0,159,15,11,4,12,24,3,4,39,0,119,17,36,15,85,60,3,3,4,3,222,13,118,8,69,30,0,0,7,0,246,11,138,21,175,66,4,3,18,4,451,6,0,3,13,3,0,0,3,0,33,5,18,74,34,20,3,0,8,0,166,17,9,23,4,22,4,17,13,20,128
SSC50012,9,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50013,0,0,0,0,0,0,0,0,0,3,0,0,21,0,0,0,27,3,0,58,0,0,4,0,0,0,3,0,0,16,0,0,15,0,3,0,0,3,0,23,0,0,6,0,0,0,5,7,0,16,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,0,0,16,0,0,0,3,0,0,0,8,0,15,0,0,0,0,4,0,8,0,0,13,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,4,3,0,0,0,6,0,0,3,0,17,3,14,0,7,0,0,0,6,0,39,0,4,3,9,5,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,14,0,0,3,0,0,0,0,0,3,8
SSC50014,22,0,0,0,0,0,3,9,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SSC50015,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50016,20,3,0,0,0,0,0,9,0,27,0,0,6,0,0,0,12,3,0,21,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,3,0,0,3,3,0,18,0,4,0,3,9,0,36,0,0,3,0,0,3,0,0,0,8,0,0,4,0,0,12,0,3,0,20,3,0,0,0,0,0,0,3,0,7,0,0,0,3,3,0,5,0,0,12,0,3,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,6,0,0,0,0,5,0,0,0,0,8,0,0,0,0,3,0,0,0,0,7,0,0,0,3,3,0,0,0,0,4,4,6,0,3,0,0,0,0,0,16,0,3,0,12,0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,8
SSC50017,26,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50018,4,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50019,12,0,0,0,0,0,0,6,0,21,0,0,5,0,0,0,0,0,0,4,3,0,7,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,0,6,3,3,0,0,0,3,21
SSC50020,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,4,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,8,5,0,0,4,0,0,0,3,23,48,85,18,0,26,0,6,0,4,185,43,29,17,3,19,7,3,10,4,129,14,8,0,0,8,0,0,0,0,30,89,23,69,0,37,13,0,10,3,244,28,16,0,0,10,6,3,6,4,80,54,36,14,3,14,138,10,13,3,284,29,0,25,50,11,25,0,28,3,183,21,14,4,6,18,3,18,4,0,96,8,12,3,0,6,4,0,3,0,38,28,63,0,0,23,3,0,0,8,123,29,24,5,0,35,60,0,5,3,161,66,227,32,0,54,10,0,0,5,388,5,14,3,15,17,0,4,20,0,73,27,45,6,13,42,3,0,0,6,134,26,196,6,35,22,0,0,0,0,286,26,282,8,73,60,3,0,7,3,456,16,12,4,15,0,4,0,3,0,61,19,14,29,13,13,0,0,0,0,91,52,41,9,3,23,6,4,7,14,153
SSC50023,13,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC50024,6,3,0,0,0,0,0,0,3,16,31,48,11,0,9,0,10,4,0,118,20,17,18,0,3,3,0,3,0,69,5,14,3,0,6,0,0,0,0,26,24,9,46,0,18,4,5,13,0,122,11,14,0,0,9,4,3,3,0,45,32,23,3,0,15,109,7,5,0,194,23,3,17,50,4,24,0,32,0,155,14,6,3,3,10,3,18,3,0,62,0,6,0,0,3,0,0,0,0,9,13,30,0,0,22,0,0,0,0,63,5,6,0,0,10,24,0,5,0,58,33,150,15,0,43,5,0,0,0,243,9,11,5,7,7,0,0,15,0,53,23,36,5,18,30,0,0,0,0,111,20,124,5,36,30,0,0,4,0,214,17,160,9,50,47,3,0,3,0,296,5,12,0,11,0,0,0,3,0,35,8,7,12,14,5,0,0,4,0,48,10,27,7,3,12,10,3,9,12,97
SSC50025,5,0,0,0,3,0,3,5,0,15,3,3,11,0,0,0,9,0,0,21,3,0,9,0,0,0,5,0,0,13,0,0,3,0,0,0,0,0,0,3,0,0,11,0,8,0,5,3,0,26,0,0,0,0,3,0,0,0,0,3,5,3,3,0,3,10,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,4,3,3,3,0,0,0,3,0,19,0,19,0,0,3,0,0,0,0,27,4,23,0,10,3,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,4,3,3,5,3,0,0,0,0,16,3,0,3,0,0,0,0,0,0,13
SSC50026,3,5,6,0,3,0,4,20,0,39,4,5,46,0,14,0,58,14,0,138,17,13,125,5,48,16,98,63,10,387,3,4,11,0,14,3,12,4,0,54,20,15,205,0,46,3,71,89,3,456,11,4,11,0,24,20,57,23,0,150,47,0,43,3,27,313,49,70,4,572,45,0,33,64,3,46,7,72,0,276,20,4,8,7,93,5,220,20,0,382,4,6,5,0,12,9,0,3,4,44,3,8,0,0,34,4,0,0,0,52,6,5,6,4,14,24,8,3,0,64,3,49,48,0,41,4,5,8,0,157,7,13,29,14,20,3,17,93,0,200,13,35,20,73,74,0,16,34,7,264,21,116,27,89,29,0,3,44,3,333,11,145,33,330,81,3,10,49,3,671,11,3,7,19,0,4,0,3,3,47,4,11,90,23,16,3,9,29,0,194,9,8,54,16,32,20,62,51,29,274
SSC50027,11,0,0,0,0,0,4,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
